trial_number,value,long_entry_pct,short_entry_pct,min_edge_gap,max_hold_minutes,cooldown_minutes,min_hold_minutes,rearm_pct
178,0.00495344073120282,0.8988350883555175,0.9676943839835754,0.2065132144755672,143,109,5,0.40709004173707003
179,0.005122069150100512,0.9088783043762594,0.9835378335901016,0.2153875930459585,124,106,7,0.41328061901523566
180,0.004203424230393892,0.8880778490194806,0.9729507449648997,0.19107515140301268,149,101,8,0.4267859334866602
181,0.005894996245691091,0.8942176454871396,0.9840866133238458,0.19609632483036582,156,99,6,0.4002227874682241
182,0.0054966529640354525,0.8935969099678217,0.9836823154054911,0.19591519346647393,158,97,6,0.4065641595453024
183,0.005689932761500016,0.9016948374441417,0.979360640008357,0.20892982940640445,151,103,5,0.4006073764792643
184,0.0055706029783999375,0.8825038052189833,0.9855774857395552,0.21084882501722438,138,101,4,0.40046343413120744
185,0.004636284088384983,0.9082159905731182,0.9781947201152035,0.20533780729674608,150,75,5,0.41303137469280604
186,0.006318950826804731,0.8959098018514238,0.9899563960183192,0.22058925425251613,143,105,7,0.40050171487438413
187,0.005999308816564451,0.8919826770746522,0.9897785136857058,0.2300100383665011,144,105,7,0.40083180605675667
188,0.005004840956573287,0.8884130392285418,0.9729496854373951,0.23006802428731382,141,105,7,0.4004296210777407
189,0.0044538324372041735,0.876229349242585,0.978297359989817,0.2191943190791872,130,109,8,0.4203734037312912
190,0.005386521145807925,0.8994512190055923,0.9831194359485854,0.2376515234476157,136,112,7,0.4130800591772539
191,0.005984227660825037,0.8933272017726287,0.9899545285890228,0.22085081603439977,145,100,7,0.40014204910334367
192,0.005815473073258015,0.8937897325608276,0.9898963627138274,0.22580316275769835,146,105,7,0.4051737650291938
193,0.005146859433922749,0.8924917317541848,0.9852776887318095,0.22469039971410543,142,106,8,0.4098581165066733
194,0.00552132496098195,0.8836840339296749,0.9898811536254455,0.23322969731170437,146,100,7,0.40574954508833966
195,0.006162354619181053,0.8966741961714775,0.9848409399949279,0.22488044820930136,220,105,10,0.40078894315891905
196,0.005117919716047695,0.8876620748284186,0.9836417468416482,0.2438605086251937,218,108,9,0.4186157764625364
197,0.005469700537073044,0.9027708023611051,0.9752583243041093,0.2319742035554527,214,116,8,0.40029883390963
198,0.003177282371558144,0.8972563045460795,0.9804629386461673,0.220560812179132,224,71,7,0.6650911142988716
199,0.0050301276742080155,0.8803294777372576,0.969630703195179,0.22931588503335407,210,106,10,0.4002363379632323
